id,customer_id,total,year,status
1,2,11.0,2021,ok
2,3,12.0,2022,ok
3,4,13.0,2023,ok
4,5,14.0,2024,ok
5,6,15.0,2020,ok
6,7,16.0,2021,ok
7,8,17.0,2022,ok
8,9,18.0,2023,ok
9,10,19.0,2024,ok
10,11,20.0,2020,ok
11,12,21.0,2021,ok
12,13,22.0,2022,ok
13,14,23.0,2023,ok
14,15,24.0,2024,ok
15,16,25.0,2020,ok
16,17,26.0,2021,ok
17,18,27.0,2022,ok
18,19,28.0,2023,ok
19,20,29.0,2024,ok
20,21,30.0,2020,ok
21,22,31.0,2021,ok
22,23,32.0,2022,ok
23,24,33.0,2023,ok
24,25,34.0,2024,ok
25,26,35.0,2020,ok
26,27,36.0,2021,ok
27,28,37.0,2022,ok
28,29,38.0,2023,ok
29,30,39.0,2024,ok
30,31,40.0,2020,ok
31,32,41.0,2021,ok
32,33,42.0,2022,ok
33,34,43.0,2023,ok
34,35,44.0,2024,ok
35,36,45.0,2020,ok
36,37,46.0,2021,ok
37,38,47.0,2022,ok
38,39,48.0,2023,ok
39,40,49.0,2024,ok
40,41,50.0,2020,ok
41,42,51.0,2021,ok
42,43,52.0,2022,ok
43,44,53.0,2023,ok
44,45,54.0,2024,ok
45,46,55.0,2020,ok
46,47,56.0,2021,ok
47,48,57.0,2022,ok
48,49,58.0,2023,ok
49,50,59.0,2024,ok
50,51,60.0,2020,ok
51,52,61.0,2021,ok
52,53,62.0,2022,ok
53,54,63.0,2023,ok
54,55,64.0,2024,ok
55,56,65.0,2020,ok
56,57,66.0,2021,ok
57,58,67.0,2022,ok
58,59,68.0,2023,ok
59,60,69.0,2024,ok
60,61,70.0,2020,ok
61,62,71.0,2021,ok
62,63,72.0,2022,ok
63,64,73.0,2023,ok
64,65,74.0,2024,ok
65,66,75.0,2020,ok
66,67,76.0,2021,ok
67,68,77.0,2022,ok
68,69,78.0,2023,ok
69,70,79.0,2024,ok
70,71,80.0,2020,ok
71,72,81.0,2021,ok
72,73,82.0,2022,ok
73,74,83.0,2023,ok
74,75,84.0,2024,ok
75,76,85.0,2020,ok
76,77,86.0,2021,ok
77,78,87.0,2022,ok
78,79,88.0,2023,ok
79,80,89.0,2024,ok
80,81,90.0,2020,ok
81,82,91.0,2021,ok
82,83,92.0,2022,ok
83,84,93.0,2023,ok
84,85,94.0,2024,ok
85,86,95.0,2020,ok
86,87,96.0,2021,ok
87,88,97.0,2022,ok
88,89,98.0,2023,ok
89,90,99.0,2024,ok
90,91,100.0,2020,ok
91,92,101.0,2021,ok
92,93,102.0,2022,ok
93,94,103.0,2023,ok
94,95,104.0,2024,ok
95,96,105.0,2020,ok
96,97,106.0,2021,ok
97,98,107.0,2022,ok
98,99,108.0,2023,ok
99,100,109.0,2024,ok
100,101,110.0,2020,ok
101,102,111.0,2021,ok
102,103,112.0,2022,ok
103,104,113.0,2023,ok
104,105,114.0,2024,ok
105,106,115.0,2020,ok
106,107,116.0,2021,ok
107,108,117.0,2022,ok
108,109,118.0,2023,ok
109,110,119.0,2024,ok
110,111,120.0,2020,ok
111,112,121.0,2021,ok
112,113,122.0,2022,ok
113,114,123.0,2023,ok
114,115,124.0,2024,ok
115,116,125.0,2020,ok
116,117,126.0,2021,ok
117,118,127.0,2022,ok
118,119,128.0,2023,ok
119,120,129.0,2024,ok
120,121,130.0,2020,ok
121,122,131.0,2021,ok
122,123,132.0,2022,ok
123,124,133.0,2023,ok
124,125,134.0,2024,ok
125,126,135.0,2020,ok
126,127,136.0,2021,ok
127,128,137.0,2022,ok
128,129,138.0,2023,ok
129,130,139.0,2024,ok
130,131,140.0,2020,ok
